--- New simulation start ---
It: 260 | Pl: 28, Herb: 2, Pred: 3, Apex: 0
It: 280 | Pl: 34, Herb: 0, Pred: 3, Apex: 0
It: 300 | Pl: 42, Herb: 0, Pred: 3, Apex: 0
It: 320 | Pl: 47, Herb: 0, Pred: 3, Apex: 0
It: 340 | Pl: 56, Herb: 0, Pred: 3, Apex: 0
It: 360 | Pl: 63, Herb: 0, Pred: 3, Apex: 0
It: 380 | Pl: 69, Herb: 0, Pred: 3, Apex: 0
It: 400 | Pl: 74, Herb: 0, Pred: 3, Apex: 0
It: 420 | Pl: 77, Herb: 0, Pred: 3, Apex: 0
It: 440 | Pl: 82, Herb: 0, Pred: 2, Apex: 0
It: 460 | Pl: 87, Herb: 0, Pred: 1, Apex: 0
It: 480 | Pl: 94, Herb: 0, Pred: 1, Apex: 0
It: 500 | Pl: 105, Herb: 0, Pred: 1, Apex: 0
It: 20 | Pl: 66, Herb: 38, Pred: 4, Apex: 1
It: 40 | Pl: 42, Herb: 58, Pred: 3, Apex: 0
It: 60 | Pl: 26, Herb: 59, Pred: 3, Apex: 0
It: 80 | Pl: 19, Herb: 47, Pred: 3, Apex: 0
It: 100 | Pl: 22, Herb: 29, Pred: 3, Apex: 0
It: 120 | Pl: 22, Herb: 17, Pred: 3, Apex: 0
It: 140 | Pl: 24, Herb: 9, Pred: 3, Apex: 0
It: 160 | Pl: 31, Herb: 7, Pred: 3, Apex: 0
It: 180 | Pl: 38, Herb: 4, Pred: 3, Apex: 0
It: 200 | Pl: 42, Herb: 2, Pred: 3, Apex: 0
It: 220 | Pl: 46, Herb: 1, Pred: 3, Apex: 0
It: 240 | Pl: 53, Herb: 0, Pred: 2, Apex: 0
It: 260 | Pl: 55, Herb: 0, Pred: 2, Apex: 0
It: 280 | Pl: 59, Herb: 0, Pred: 1, Apex: 0
It: 300 | Pl: 64, Herb: 0, Pred: 1, Apex: 0
It: 320 | Pl: 73, Herb: 0, Pred: 1, Apex: 0
It: 20 | Pl: 57, Herb: 36, Pred: 5, Apex: 0
It: 40 | Pl: 52, Herb: 33, Pred: 4, Apex: 0
It: 60 | Pl: 50, Herb: 23, Pred: 4, Apex: 0
It: 80 | Pl: 42, Herb: 21, Pred: 4, Apex: 0
It: 100 | Pl: 34, Herb: 18, Pred: 4, Apex: 0
It: 120 | Pl: 20, Herb: 26, Pred: 4, Apex: 0
It: 140 | Pl: 17, Herb: 24, Pred: 4, Apex: 0
It: 160 | Pl: 11, Herb: 17, Pred: 4, Apex: 0
It: 180 | Pl: 11, Herb: 3, Pred: 4, Apex: 0
It: 200 | Pl: 19, Herb: 3, Pred: 4, Apex: 0
It: 220 | Pl: 27, Herb: 3, Pred: 4, Apex: 0
It: 240 | Pl: 34, Herb: 2, Pred: 3, Apex: 0
It: 260 | Pl: 37, Herb: 0, Pred: 3, Apex: 0
It: 280 | Pl: 44, Herb: 0, Pred: 3, Apex: 0
It: 300 | Pl: 51, Herb: 0, Pred: 3, Apex: 0
It: 320 | Pl: 58, Herb: 0, Pred: 3, Apex: 0
It: 340 | Pl: 65, Herb: 0, Pred: 3, Apex: 0
It: 360 | Pl: 76, Herb: 0, Pred: 3, Apex: 0
It: 380 | Pl: 83, Herb: 0, Pred: 3, Apex: 0
It: 400 | Pl: 89, Herb: 0, Pred: 3, Apex: 0
It: 420 | Pl: 95, Herb: 0, Pred: 2, Apex: 0
It: 440 | Pl: 102, Herb: 0, Pred: 2, Apex: 0
It: 460 | Pl: 107, Herb: 0, Pred: 2, Apex: 0
It: 480 | Pl: 117, Herb: 0, Pred: 2, Apex: 0
It: 20 | Pl: 58, Herb: 43, Pred: 4, Apex: 1
It: 40 | Pl: 41, Herb: 45, Pred: 3, Apex: 0
It: 60 | Pl: 38, Herb: 28, Pred: 3, Apex: 0
It: 80 | Pl: 35, Herb: 23, Pred: 3, Apex: 0
It: 100 | Pl: 33, Herb: 20, Pred: 3, Apex: 0
It: 120 | Pl: 33, Herb: 17, Pred: 3, Apex: 0
It: 140 | Pl: 37, Herb: 12, Pred: 3, Apex: 0
It: 160 | Pl: 44, Herb: 4, Pred: 3, Apex: 0
